Urut;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;PetioleLength;PetioleFW;PetSampleFW;PetSampleDW;PetioleWaterContent;PetioleDW;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafWaterContent;LeafletDW;HarvestingBunchDate;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
1;P63;Irrigation;I1;48;;;01/12/07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;P63;Irrigation;I1;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;P63;Irrigation;I1;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;P63;Irrigation;I1;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;P63;Irrigation;I1;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;P63;Irrigation;I1;43;;;;18/06/08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;P63;Irrigation;I1;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;P63;Irrigation;I1;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;P63;Irrigation;I1;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;P63;Irrigation;I1;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;P63;Irrigation;I1;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;P63;Irrigation;I1;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;P63;Irrigation;I1;36;;;04/04/08;;;;;;120,00;1550,00;36,40;26,50;0,27;1128,40;673,00;6000,00;139,20;34,90;0,75;1504,30;190,00;192,00;382,00;3700,00;122,80;38,60;0,69;1163,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;P63;Irrigation;I1;35;;;;21/11/08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;P63;Irrigation;I1;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;P63;Irrigation;I1;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;P63;Irrigation;I1;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;P63;Irrigation;I1;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;P63;Irrigation;I1;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;P63;Irrigation;I1;27;;;21/11/08;;;;;;;;;;;;636,00;5880,00;134,50;36,60;0,73;1600,10;176,00;180,00;356,00;2700,00;112,50;42,00;0,63;1008,00
21;P63;Irrigation;I1;26;;;04/04/08;;;;;;156,00;5250,00;163,10;45,80;0,72;1474,20;624,00;5450,00;190,40;55,80;0,71;1597,20;192,00;186,00;378,00;4600,00;106,30;59,00;0,44;2553,20
22;P63;Irrigation;I1;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;P63;Irrigation;I1;24;;;02/05/08;;;;;;;;;;;;634,00;6350,00;191,80;50,10;0,74;1658,70;186,00;188,00;374,00;3650,00;119,40;41,50;0,65;1268,60
24;P63;Irrigation;I1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;P63;Irrigation;I1;22;;;;21/11/08;;;;;;;;;;;;;;;;;;;;;;;;
26;P63;Irrigation;I1;21;dry;;;22/01/09;;;;;;;;;;;;;;;;;;;;;;;;
27;P63;Irrigation;I1;20;harvesting;;22/01/09;;;;;;;;;;;;635,00;6200,00;159,50;44,00;0,72;1710,30;198,00;198,00;396,00;3400,00;97,90;37,10;0,62;1288,50
28;P63;Irrigation;I1;19;;;04/04/08;;;;;;171,00;6050,00;196,50;51,00;0,74;1570,20;671,00;5900,00;174,90;47,80;0,73;1612,50;174,00;172,00;346,00;4000,00;149,60;43,00;0,71;1149,70
29;P63;Irrigation;I1;18;;;04/04/08;;;;;;80,00;3400,00;217,70;50,10;0,77;782,50;;;;;;;;;;;;;;
30;P63;Irrigation;I1;17;;;18/04/08;;;;;;;;;;;;652,00;5750,00;159,10;48,00;0,70;1734,80;176,00;178,00;354,00;2780,00;133,90;50,10;0,63;1040,20
31;P63;Irrigation;I1;16;;;02/05/08;;;;;;;;;;;;632,00;5500,00;193,50;50,40;0,74;1432,60;148,00;182,00;330,00;3600,00;103,40;38,70;0,63;1347,40
