Progeny;TreeNb;Treatment;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;PetioleLength;PetioleFW;PetSampleFW;PetSampleDW;PetioleWaterContent;PetioleDW;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafletWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
63;C1;Control;38;;;18/08/06;;;;;A;160,00;5600,00;144,40;38,00;0,74;1473,70;697,00;6350,00;139,80;41,60;0,70;1889,60;179,00;165,00;344,00;3900,00;225,60;87,70;0,61;1516,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;37;;;02/09/06;;;;;A;150,00;5540,00;129,20;31,80;0,75;1363,60;640,00;6220,00;163,90;45,60;0,72;1730,50;194,00;191,00;385,00;4170,00;235,40;92,20;0,61;1633,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;31;;;25/09/07;;;27/07/06;;A;190,00;6000,00;223,80;58,70;0,74;1573,70;630,00;4400,00;151,00;42,40;0,72;1235,50;180,00;186,00;366,00;3700,00;137,50;56,60;0,59;1523,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;30;;;18/08/06;;;18/08/06;;F;178,00;8150,00;182,40;43,40;0,76;1939,20;629,00;6400,00;169,30;45,20;0,73;1708,70;181,00;188,00;369,00;4000,00;225,20;87,50;0,61;1554,20;19750,00;10795,00;1250,00;62,10;9,40;0,85;189,20;4900,00;211,70;68,70;0,68;1590,10;1501,00;800,00;37,20;4,60;0,88;98,90;1639,00;12800,00;168,10;117,10;0,30;8916,60;146,10;101,40;22,00;15,70
63;C1;Control;29;;;02/09/06;;;02/09/06;;F;179,00;8350,00;121,50;30,80;0,75;2116,70;697,00;6000,00;125,30;38,90;0,69;1862,70;193,00;181,00;374,00;3910,00;204,80;81,70;0,60;1559,80;16754,00;10233,00;1004,00;88,70;11,60;0,87;131,30;3450,00;120,60;47,90;0,60;1370,30;924,00;500,00;24,30;2,70;0,89;55,60;1702,00;11800,00;196,40;144,40;0,30;8675,80;171,10;125,60;25,30;18,80
63;C1;Control;28;;;;22/08/07;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;27;;;12/10/06;;;12/10/06;;F;194,00;7750,00;188,20;;;;668,00;6680,00;202,70;;;;194,00;188,00;382,00;4200,00;;;;;5970,00;3525,00;200,00;146,20;27,30;0,81;37,30;2000,00;170,00;70,70;0,58;831,80;126,00;50,00;28,50;3,90;0,86;6,80;540,00;3720,00;138,30;98,50;0,30;2649,50;114,00;80,70;24,30;17,80
63;C1;Control;26;;;12/10/06;;24/08/06;12/10/06;;F;198,00;9000,00;217,40;;;;664,00;6800,00;174,10;;;;198,00;174,00;372,00;4350,00;;;;;18000,00;10424,00;1170,00;169,70;28,40;0,83;195,80;3500,00;290,00;97,70;0,66;1179,10;1209,00;1140,00;33,00;4,60;0,86;158,90;1370,00;12190,00;183,60;133,90;0,30;8890,20;160,50;117,20;23,10;16,70
63;C1;Control;25;;;29/10/06;;;29/10/06;;F;99,00;9000,00;220,50;57,80;0,74;2359,20;683,00;8100,00;116,60;33,50;0,71;2327,20;192,00;192,00;384,00;5400,00;206,90;78,10;0,62;2038,40;12790,00;7818,00;800,00;82,30;13,90;0,83;135,10;2840,00;117,80;47,30;0,60;1140,30;964,00;320,00;21,00;3,00;0,86;45,70;1395,00;8830,00;138,50;101,90;0,30;6496,60;113,70;83,40;24,80;18,50
63;C1;Control;24;;;;23/03/07;;02/11/07;;F;;;;;;;;;;;;;;;;;;;;;18800,00;10483,00;1100,00;200,00;29,30;0,85;161,20;4000,00;216,20;67,90;0,69;1256,20;170,00;200,00;43,00;5,90;0,86;27,40;1225,00;13500,00;292,30;195,70;0,30;9038,50;244,90;159,80;47,40;35,90
63;C1;Control;23;;;04/04/08;15/02/07;08/10/06;17/11/07;;F;169,00;6800,00;198,60;46,90;0,76;1605,80;662,00;7000,00;190,30;53,00;0,72;1949,60;158,00;154,00;312,00;3475,00;151,70;61,50;0,59;1408,80;15000,00;7535,00;1000,00;215,50;31,30;0,85;145,20;4200,00;206,20;69,70;0,66;1419,70;1231,00;1350,00;54,00;7,00;0,87;175,00;1004,00;8450,00;396,00;271,60;0,30;5795,50;337,60;228,00;58,40;43,60
63;C1;Control;22;;;16/11/07;;;;;A;208,00;5850,00;248,20;54,50;0,78;1284,50;693,00;8150,00;214,60;62,50;0,71;2373,60;206,00;204,00;410,00;3800,00;183,30;74,50;0,59;1544,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;21;;;18/10/06;13/06/07;07/11/06;;;A;182,00;8400,00;129,40;32,50;0,75;2109,70;721,00;8000,00;183,90;49,10;0,73;2135,90;185,00;187,00;372,00;4300,00;591,00;225,00;0,62;1637,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
