Site;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafletWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
PHLE;P1;Control;T3;-168;;02/07/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T2;-167;;02/07/2011;;;;;;;;;;;;;;;;;;;;;6735;3931.634593;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T3;-167;;02/07/2011;;;;;;;;;;;;;;;;;;;;;4388;2393.466444;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T4;-167;;02/07/2011;;;;;;;;;;;;;;;;;;;;;4629;2790.223061;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T5;-183;;02/07/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T6;-168;;02/07/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T2;-166;;14/06/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T3;-166;;14/06/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T4;-166;;30/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T5;-182;;02/07/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T1;-156;;02/07/2011;;;;;;;;;;;;;;;;;;;;;3334;1929.681682;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T6;-167;;14/06/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T3;-165;;30/05/2011;;;;;;;;;;;;;;;;;;;;;3303;1954.403067;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T2;-165;;30/05/2011;;;;;;;;;;;;;;;;;;;;;6494;4191.963833;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T3;-164;;18/05/2011;;;;;;;;;;;;;;;;;;;;;5219;3573.366097;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T4;-165;;18/05/2011;;;;;;;;;;;;;;;;;;;;;3027;1666.218726;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T5;-181;;14/06/2011;;;;;;;;;;;;;;;;;;;;;3314;1706.90666;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T6;-166;;30/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T1;-155;;14/06/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T2;-164;;18/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T4;-164;;03/05/2011;;;;;;;;;;;;;;;;;;;;;4456;2544.761017;;;;;;;;;;;;;;;;;;;;;;;;;;
