Site;Treatment;Date;TreeNb;NbLeaf;Sample;LealfetLength;LeafletMaxWidth;LeafletFW;LeafletDW
KNDE;Control;11/12/2008;C1;-108;1;107.2;7.2;16.66;5.86
KNDE;Control;;C1;;2;107.5;7.3;15.94;5.84
KNDE;Control;;C1;;3;108.6;6.5;15.16;5.28
KNDE;Control;;C1;;4;110.6;7.3;17.53;6.32
KNDE;Control;;C1;;5;111.8;7.4;18.22;6.79
KNDE;Control;;C1;;6;112.9;7;17.5;6.47
KNDE;Control;;C1;;7;112.5;7.4;16.8;6.09
KNDE;Control;26/12/2008;C1;-104;1;109.3;4.7;5.99;5.11
KNDE;Control;;C1;;2;105;6.6;6.48;5.51
KNDE;Control;;C1;;3;109.2;5.1;6.13;5.42
KNDE;Control;;C1;;4;105;5.2;6.68;5.81
KNDE;Control;;C1;;5;106.8;5.1;5.5;5.03
KNDE;Control;05/01/2009;C1;-105;1;116;6.8;16.73;6.71
KNDE;Control;;C1;;2;111.6;6.9;16.47;6.42
KNDE;Control;;C1;;3;107.9;5.8;14.02;5.61
KNDE;Control;;C1;;4;106.7;6.3;14.76;5.59
KNDE;Control;;C1;;5;115.4;7.1;17.9;6.76
KNDE;Control;;C1;;6;101.1;7.3;15.61;6.24
KNDE;Control;;C1;;7;103.5;7.2;15.84;6.13
KNDE;Control;05/01/2009;C1;-109;1;109.5;6.9;15.83;6.33
KNDE;Control;;C1;;2;110;7.2;16.12;6.65
KNDE;Control;;C1;;3;110.5;6.9;15.93;6.61
KNDE;Control;;C1;;4;107.1;7;16.83;7.39
KNDE;Control;;C1;;5;107;7.2;17.4;6.4
KNDE;Control;;C1;;6;109.9;7.3;17.59;7
KNDE;Control;;C1;;7;110.1;7;16.07;6.85
KNDE;Control;05/01/2009;C1;-113;1;101.2;6.8;15.2;6
KNDE;Control;;C1;;2;103.3;7.2;15.82;6.17
KNDE;Control;;C1;;3;96.7;6.7;14.7;5.9
KNDE;Control;;C1;;4;105.2;6.6;14.4;5.49
KNDE;Control;;C1;;5;104.4;6.3;14.12;5.41
KNDE;Control;;C1;;6;108.8;6.8;15.4;6.16
KNDE;Control;;C1;;7;109.8;6;13.3;5.08
KNDE;Control;;C1;;8;109.2;6.5;14.72;5.84
KNDE;Control;21/01/2009;C1;-110;1;100.8;6.4;14.38;5.88
KNDE;Control;;C1;;2;102;7.3;15.63;6.13
KNDE;Control;;C1;;3;102.5;7;14.59;6.03
KNDE;Control;;C1;;4;108.9;6.7;14.74;5.94
KNDE;Control;;C1;;5;109.6;6.6;15.16;6.02
KNDE;Control;;C1;;6;111.6;7;16.01;6.49
KNDE;Control;;C1;;7;114;6.3;14.83;6.12
KNDE;Control;;C1;;8;112.7;6.5;13.66;5.91
KNDE;Control;;C1;;9;115.8;7.3;16.42;6.45
KNDE;Control;03/02/2009;C1;-107;1;103.6;6.2;13.69;5.73
KNDE;Control;;C1;;2;105.4;7.3;14.55;6.12
KNDE;Control;;C1;;3;108.1;7;14.14;5.66
KNDE;Control;;C1;;4;108.5;6.1;13.26;5.41
KNDE;Control;;C1;;5;110.9;6.9;16.09;6.29
KNDE;Control;;C1;;6;113;6.8;15.45;5.97
KNDE;Control;04/03/2009;C1;-106;1;108;6.5;13.18;5.93
KNDE;Control;;C1;;2;109.5;6.8;13.45;6.07
KNDE;Control;;C1;;3;114.7;6;13.71;5.71
KNDE;Control;;C1;;4;117.4;5.5;12.62;5.32
KNDE;Control;01/04/2009;C1;-117;1;101.6;6.9;14.47;6.29
KNDE;Control;;C1;;2;109.2;6.6;14.88;6.25
KNDE;Control;;C1;;3;102.6;7.1;15.33;7.1
KNDE;Control;;C1;;4;107.3;6.3;14.9;6.92
KNDE;Control;;C1;;5;107.5;6.8;15.33;6.56
KNDE;Control;;C1;;6;109.1;6.7;15.67;6.4
KNDE;Control;;C1;;7;101;6.6;14.28;5.94
KNDE;Control;;C1;;8;103.2;6.6;12.81;5.51
KNDE;Control;;C1;;9;101.9;6.6;14.02;6.11
KNDE;Control;16/04/2009;C1;-112;1;113.5;6.8;16.25;6.58
KNDE;Control;;C1;;2;103;6.2;20.64;5.47
KNDE;Control;;C1;;3;105.3;6.8;22.95;6.55
KNDE;Control;;C1;;4;112;6.4;21.12;5.85
KNDE;Control;;C1;;5;111.8;6.6;23.25;6.62
KNDE;Control;;C1;;6;109.5;6;20.17;5.49
KNDE;Control;;C1;;7;103.5;7;20.65;5.68
KNDE;Control;10/06/2009;C1;-111;1;109.1;6.4;16.39;6.86
KNDE;Control;;C1;;2;107.6;6.2;14.3;5.78
KNDE;Control;;C1;;3;108.7;7;17.13;7.28
KNDE;Control;;C1;;4;105.2;7;16.87;7.07
KNDE;Control;;C1;;5;105.7;5.8;12.75;5.4
KNDE;Control;;C1;;6;108.2;5.9;14.33;6.47
KNDE;Control;10/06/2009;C1;-116;1;102.6;7.3;21.3;6.86
KNDE;Control;;C1;;2;105.2;7.8;16.33;6.87
KNDE;Control;;C1;;3;104.4;7.8;15.65;6.41
KNDE;Control;;C1;;4;100.5;6.5;13.98;5.74
KNDE;Control;;C1;;5;101.2;6;12.13;4.99
KNDE;Control;;C1;;6;100.1;7.3;15.36;5.68
KNDE;Control;;C1;;7;97.4;6.7;13.27;5.7
KNDE;Control;25/06/2009;C1;-118;1;104.2;7.1;15.51;6.05
KNDE;Control;;C1;;2;105.1;7.6;16.05;6.21
KNDE;Control;;C1;;3;104.4;7.5;14.78;5.59
KNDE;Control;;C1;;4;104.5;6.9;14.34;5.52
KNDE;Control;;C1;;5;106.2;7.1;14.46;5.55
KNDE;Control;;C1;;6;108.2;6.3;14.24;5.52
KNDE;Control;;C1;;7;107.3;6;13.62;5.42
KNDE;Control;;C1;;8;109.3;6.7;15.57;6.11
KNDE;Control;09/07/2009;C1;-124;1;106.1;7;15.64;6.25
KNDE;Control;;C1;;2;101.4;6.7;13.74;6.7
KNDE;Control;;C1;;3;102.6;6.6;14.76;6.12
KNDE;Control;;C1;;4;104.9;6.4;14.65;6.72
KNDE;Control;;C1;;5;105.1;7.3;16.05;6.12
KNDE;Control;;C1;;6;105.2;7.2;15.88;6.41
KNDE;Control;23/07/2009;C1;-121;1;106.4;7.3;17.72;6.48
KNDE;Control;;C1;;2;106.6;7.3;16.12;6.07
KNDE;Control;;C1;;3;102.7;7.5;17.86;7.13
KNDE;Control;;C1;;4;110.1;7.4;13.72;5.65
KNDE;Control;;C1;;5;109.5;7;17.91;6.32
KNDE;Control;;C1;;6;108;7.2;17.21;6.75
KNDE;Control;;C1;;7;105;6.7;16.68;6.02
KNDE;Control;;C1;;8;105.9;7.4;16.72;6.02
KNDE;Control;20/08/2009;C1;-120;1;109.4;7.1;16.02;6.58
KNDE;Control;;C1;;2;100.5;7.2;16.39;6.68
KNDE;Control;;C1;;3;107.5;7;16.08;5.82
KNDE;Control;;C1;;4;108.1;6;14.27;6.07
KNDE;Control;;C1;;5;105;6.1;13.66;6.47
KNDE;Control;20/08/2009;C1;-115;1;109.2;6.6;15.91;7.3
KNDE;Control;;C1;;2;112.5;7;15.63;6.49
KNDE;Control;;C1;;3;109.5;6.1;14.53;6.02
KNDE;Control;;C1;;4;108.6;7;15.15;6.82
KNDE;Control;;C1;;5;108.1;5.8;12.64;5.55
KNDE;Control;;C1;;6;109.2;6.1;13.35;5.75
KNDE;Control;16/09/2009;C1;-119;1;104.3;6.5;11.45;5.42
KNDE;Control;;C1;;2;105.7;6.9;13.25;6.05
KNDE;Control;;C1;;3;102.4;6.6;12.49;5.65
KNDE;Control;;C1;;4;103.6;6.4;11.31;5.44
KNDE;Control;;C1;;5;110.5;5.5;10.46;5.2
KNDE;Control;;C1;;6;110.5;5.9;10.48;5.04
KNDE;Control;16/09/2009;C1;-123;1;113.5;6.8;13.81;6.6
KNDE;Control;;C1;;2;117.2;6.3;14.1;7.21
KNDE;Control;;C1;;3;118.2;7.1;16.86;7.69
KNDE;Control;;C1;;4;114.1;7.4;17.4;8.71
KNDE;Control;;C1;;5;112.9;7.2;15.83;8.8
KNDE;Control;;C1;;6;112.2;7.2;13.25;7.03
KNDE;Control;;C1;;7;104.6;6.7;13.1;6.61
KNDE;Control;;C1;;8;104.4;7.2;14.21;7.43
KNDE;Control;;C1;;9;104.8;6.5;13.2;7.47
KNDE;Control;25/11/2009;C1;-125;1;104.5;3.7;5.84;5.37
KNDE;Control;;C1;;2;111.4;4.7;7.03;5.02
KNDE;Control;;C1;;3;110.6;5.2;6.48;5.66
KNDE;Control;;C1;;4;106.6;4.5;6.94;5.9
KNDE;Control;;C1;;5;108.2;4.9;7.16;4.76
KNDE;Control;25/11/2009;C1;-122;1;108.5;6.8;14.72;5.78
KNDE;Control;;C1;;2;108.3;7.6;16.37;6.22
KNDE;Control;;C1;;3;104.5;7;15.55;6.14
KNDE;Control;;C1;;4;110.4;6.9;15.12;5.8
KNDE;Control;;C1;;5;108.6;6.5;15.1;5.75
KNDE;Control;;C1;;6;108;6.7;14.92;5.76
KNDE;Control;06/01/2010;C1;-126;1;110;6.9;14.71;6.17
KNDE;Control;;C1;;2;103.4;6.2;14.8;6.32
KNDE;Control;;C1;;3;102.4;6.9;13.65;5.51
KNDE;Control;;C1;;1;100;6.4;13.26;5.64
KNDE;Control;;C1;;5;113.1;5.9;12.99;5.35
KNDE;Control;;C1;;6;113;5.8;14.97;5.77
KNDE;Control;;C1;;7;111.6;6.3;14.78;5.87
KNDE;Control;06/01/2010;C1;-129;1;100;6.2;14.7;6.18
KNDE;Control;;C1;;2;97.5;6.9;15.67;6.45
KNDE;Control;;C1;;3;100;6.1;14.24;6.01
KNDE;Control;;C1;;4;101.2;7;15.47;6.36
KNDE;Control;;C1;;5;100.8;6.9;13.98;5.8
KNDE;Control;;C1;;6;106;6;13.26;5.37
KNDE;Control;;C1;;7;105.2;6.2;14.78;6.19
KNDE;Control;01/02/2010;C1;-127;1;108;6.5;7.36;5.44
KNDE;Control;;C1;;2;103.7;5.3;7.85;5.4
KNDE;Control;;C1;;3;106.1;5.8;7.23;5.41
KNDE;Control;;C1;;4;107.5;5.7;5.85;4.71
KNDE;Control;;C1;;5;101.1;5.4;9.52;6.52
KNDE;Control;17/02/2010;C1;-130;1;105.5;6.5;15.16;6.17
KNDE;Control;;C1;;2;103;6.9;17.82;7.25
KNDE;Control;;C1;;3;103.9;7;18.37;6.97
KNDE;Control;;C1;;4;106.4;6.6;19.31;6.51
KNDE;Control;;C1;;5;107.3;6.8;16.72;7.04
KNDE;Control;;C1;;6;107.8;6.9;18.74;6.5
KNDE;Control;;C1;;7;108.4;7;19.87;7.09
KNDE;Control;;C1;;8;107.6;6.8;18.37;7.6
KNDE;Control;04/03/2010;C1;-131;1;108.1;6.2;14.33;6.21
KNDE;Control;;C1;;2;107.8;6.7;16.53;7.03
KNDE;Control;;C1;;3;108.2;5.6;14.06;5.92
KNDE;Control;;C1;;4;110.6;5.9;13.78;5.92
KNDE;Control;;C1;;5;106.6;6.1;14.92;6.26
KNDE;Control;;C1;;6;111.2;6.8;14.96;6.57
KNDE;Control;19/03/2010;C1;-132;1;108.2;6.8;16.27;6.96
KNDE;Control;;C1;;2;110;6.2;14.96;6.12
KNDE;Control;;C1;;3;104.9;6.8;15.52;6.21
KNDE;Control;;C1;;4;106.6;7;17.03;7.19
KNDE;Control;;C1;;5;105.8;7;16.47;6.76
KNDE;Control;19/03/2010;C1;-137;1;106.8;6.9;16.23;6.83
KNDE;Control;;C1;;2;106.5;6.3;15.75;6.66
KNDE;Control;;C1;;3;112.4;6.4;17.07;6.53
KNDE;Control;;C1;;4;114.2;6.1;15.21;5.89
KNDE;Control;;C1;;5;108.2;6.8;16.14;6.43
KNDE;Control;30/03/2010;C1;-128;1;106.2;4.6;6.9;5.1
KNDE;Control;;C1;;2;112;5.3;7.07;5.99
KNDE;Control;;C1;;3;105.5;4.8;6.95;5.32
KNDE;Control;;C1;;4;107.6;5.1;7.96;5.7
KNDE;Control;14/04/2010;C1;-135;1;113.3;7.1;17.14;7.8
KNDE;Control;;;;2;116.3;6.2;16.07;6.7
KNDE;Control;;;;3;117.4;6.1;15.71;6.32
KNDE;Control;;;;4;112.9;5.1;15.07;6.23
KNDE;Control;;;;5;118.1;7;18.15;7.1
KNDE;Control;09/06/2010;C1;-133;1;109.5;7;16.22;6.86
KNDE;Control;;;;2;110;7;16.36;6.87
KNDE;Control;;;;3;110;6.3;14.49;6.66
KNDE;Control;08/07/2010;C1;-136;1;114.3;6.8;17.5;7
KNDE;Control;;;;2;113.6;6.4;17.2;7.3
KNDE;Control;;;;3;119.8;7;18.6;7.4
KNDE;Control;;;;4;115.3;6.8;18.4;7.6
KNDE;Control;;;;5;115.5;5.7;14.6;5.8
KNDE;Control;08/07/2010;C1;-134;1;97.7;6.3;14.6;5.9
KNDE;Control;;;;2;;7.4;17.6;6.9
KNDE;Control;;;;3;;7.1;17.8;6.5
KNDE;Control;;;;4;90.7;7.1;15.6;5.6
KNDE;Control;;;;5;113.7;6.2;15.1;5.8
KNDE;Control;02/08/2010;C1;-142;1;101.4;6.4;11.5;5.8
KNDE;Control;;;;2;100.6;5.8;11.6;5.7
KNDE;Control;;;;3;101.1;5.5;11;5.6
KNDE;Control;;;;4;104.2;6.1;11.9;4.9
KNDE;Control;02/08/2010;C1;-140;1;107.8;6.1;15.1;6.3
KNDE;Control;;;;2;103.9;6.7;16.9;7.1
KNDE;Control;;;;3;107.8;6.8;17.8;7.1
KNDE;Control;;;;4;105.9;6.9;18;7.7
KNDE;Control;16/09/2010;C1;-152;1;112.4;5.6;7.3;5.9
KNDE;Control;;;;2;107.2;5.4;7;5.9
KNDE;Control;;;;3;108.9;5.8;6.2;5.3
KNDE;Control;;;;4;110.4;5.6;6.8;5.9
KNDE;Control;;;;5;104.5;5.4;6.1;5.3
KNDE;Control;;;;6;107.3;5.5;6.1;5.1
KNDE;Control;;;;7;113;5.2;5.7;4.8
KNDE;Control;;;;8;105;6;6.2;5.2
KNDE;Control;;;;9;106.2;5.5;6.8;5.7
KNDE;Control;;;;10;113.8;4.7;6.3;5.1
KNDE;Control;;;;11;114.3;6.1;6.8;5.5
KNDE;Control;;;;12;103.5;5.4;6.6;5.4
KNDE;Control;;;;13;110.1;4.9;5.6;4.8
KNDE;Control;;;;14;109.3;6.3;6.9;5.7
KNDE;Control;16/09/2010;C1;-156;1;95.4;6.6;12.4;5.2
KNDE;Control;;;;2;98.1;6.5;12.8;5.1
KNDE;Control;;;;3;94;6.7;10.3;5.1
KNDE;Control;;;;4;98.1;5.6;12.2;5.4
KNDE;Control;;;;5;96;6.5;11.7;5.3
KNDE;Control;;;;6;96.6;5.8;11.9;5.5
KNDE;Control;;;;7;92.1;6.2;10.7;5.2
KNDE;Control;;;;8;100.5;6.2;10.6;5.3
KNDE;Control;;;;9;97.3;6.5;13.3;5.3
KNDE;Control;;;;10;96.5;6.8;13.6;5.6
KNDE;Control;;;;11;100;6.8;13.1;5.6
KNDE;Control;;;;12;99.4;6.7;13;5.5
KNDE;Control;;;;13;96.2;6.9;13;5.8
KNDE;Control;;;;14;96.2;6.3;11.9;5.9
KNDE;Control;13/10/2010;C1;-138;1;107.4;5.2;6.9;5.5
KNDE;Control;;;;2;105.8;5.1;6.7;5.8
KNDE;Control;13/10/2010;C1;-141;1;107.3;7.2;16.7;7
KNDE;Control;;;;2;107.2;6;15.1;6.2
KNDE;Control;;;;3;106.7;6.3;13.8;6.1
KNDE;Control;;;;4;102.8;6.2;13.9;5.8
KNDE;Control;13/10/2010;C1;-139;1;105.6;7.2;17;6.7
KNDE;Control;;;;2;103.1;5.7;14.2;6
KNDE;Control;;;;3;104.5;6.5;15.3;5.9
KNDE;Control;;;;4;104;6.9;16.4;6.1
KNDE;Control;27/10/2010;C1;-143;1;104.1;6.8;15.5;6.9
KNDE;Control;;;;2;106.6;7;16.6;7.3
