Site;Date;Progeny;TreeNb;NbLeaf;Sample;LealfetLength;LeafletMaxWidth;LeafletFW;LeafletDW
KNDE;11/01/2012;63;B3;107;1;98.6;7.1;17.9;8
KNDE;;;;;2;103.1;7.5;17;7.4
KNDE;;;;;3;103.9;6.9;19.4;8.4
KNDE;;;;;4;101.3;6.7;17.8;7.9
KNDE;11/01/2012;63;B3;99;1;104.2;7.8;20.5;9.1
KNDE;;;;;2;103.1;7.6;20.2;8.6
KNDE;;;;;3;104.3;7.2;19.7;7.6
KNDE;;;;;4;101.6;7.9;21.8;9.2
KNDE;11/01/2012;63;B3;111;1;95;7;18.3;7.8
KNDE;;;;;2;98.8;7.4;18.5;7.8
KNDE;;;;;3;95.5;7.1;18.1;7.8
KNDE;;;;;4;96.9;7.4;19.8;8.6
KNDE;11/01/2012;63;B3;102;1;104.3;6.1;9.5;8.1
KNDE;;;;;2;98.2;6.8;5.8;5
KNDE;;;;;3;106.4;6.8;7;6.1
KNDE;;;;;4;101.3;6.6;7.2;6.2
KNDE;;;;;5;92.2;6.7;9;7.8
KNDE;11/01/2012;63;B6;96;1;99.1;5.4;15.3;6.6
KNDE;;;;;2;103.3;5.6;16.7;7.4
KNDE;;;;;3;107.5;5.6;17.2;7.4
KNDE;;;;;4;99.8;6.1;17;7.2
KNDE;11/01/2012;63;B6;99;1;106.4;5.9;16.4;7.5
KNDE;;;;;2;102.4;5.9;17.8;8.1
KNDE;;;;;3;101.4;5.5;14.5;6.4
KNDE;11/01/2012;63;B3;103;1;105.2;6;10.4;8.5
KNDE;;;;;2;105.7;6;8.4;6.7
KNDE;;;;;3;104.5;5.9;8.9;7.4
KNDE;;;;;4;106.1;6.1;10.8;8.9
KNDE;11/01/2012;63;C3;91;1;96.6;5.4;9.4;7.6
KNDE;;;;;2;97.3;5.5;8.5;7.2
KNDE;;;;;3;101.7;5.6;9.2;7.9
KNDE;;;;;4;99.4;5.3;8.6;7.2
KNDE;;;;;5;99.9;5.1;9.4;8
KNDE;11/01/2012;63;B6;104;1;97.3;6.6;17.8;8.1
KNDE;;;;;2;102.2;6.5;21.2;9.4
KNDE;;;;;3;98.9;5.7;18.3;8
KNDE;;;;;4;105.3;6.3;20;8.8
KNDE;11/01/2012;63;C3;96;1;102.4;7.4;18.9;8.2
KNDE;;;;;2;105.7;6.2;17.8;7.6
KNDE;;;;;3;102.9;6.7;16.9;7.7
KNDE;;;;;4;100;6.6;18.2;8.4
KNDE;11/01/2012;63;B5;95;1;113.1;5.7;7.8;6.6
KNDE;;;;;2;96.2;5.4;8.5;7.2
KNDE;;;;;3;112.3;5.6;9.7;8
KNDE;;;;;4;114.9;5.1;9.7;8
KNDE;11/01/2012;63;C5;86;1;97.7;7.3;19.4;8.6
KNDE;;;;;2;103.7;6.7;18.8;8.1
KNDE;;;;;3;89.5;7.2;19.5;8.6
KNDE;;;;;4;103.8;6.4;18.1;7.6
KNDE;11/01/2012;63;C5;85;1;100.3;6.1;17;7
KNDE;;;;;2;100.5;6.9;18.7;7.5
KNDE;;;;;3;94.8;7.3;18.7;7.7
KNDE;;;;;4;93.2;6.4;17.3;7.5
KNDE;11/01/2012;63;C5;94;1;95.6;6.3;15.4;7.4
KNDE;;;;;2;94.5;6.4;15.9;7
KNDE;;;;;3;93.5;6.7;15.8;6.7
KNDE;;;;;4;93.6;6.7;16.4;7.4
KNDE;11/01/2012;63;C5;78;1;115.4;5.8;16.8;7.7
KNDE;;;;;2;107.5;6.3;17.8;8.1
KNDE;;;;;3;111.2;6.5;18.3;8.4
KNDE;;;;;4;93.4;6.3;15.8;7.4
KNDE;11/01/2012;63;C5;91;1;106.9;6.1;16.5;7.3
KNDE;;;;;2;112.4;5.8;14.8;6.2
KNDE;;;;;3;111.6;5.2;13.8;6
KNDE;11/01/2012;63;C5;83;1;94.1;5.9;15.6;6.3
KNDE;;;;;2;95.6;5.9;14.8;6.1
KNDE;;;;;3;95.9;6;15.7;6.9
KNDE;;;;;4;94.8;7.6;19.2;8.1
KNDE;11/01/2012;63;B6;91;1;106.8;5.8;16.7;7.2
KNDE;;;;;2;98;5.7;14.7;6.1
KNDE;;;;;3;106.5;5.7;16.9;7.3
KNDE;;;;;4;107.1;6.4;18.7;8
KNDE;;;;;5;105.7;6.1;17.3;7.1
KNDE;11/01/2012;63;B6;100;1;104;6.1;17.8;8
KNDE;;;;;2;99.7;5.9;17.9;8
KNDE;;;;;3;103.4;5.9;20.2;8.7
KNDE;;;;;4;102.1;6.2;19.1;8.4
KNDE;;;;;5;96.9;5.8;17.8;7.9
KNDE;11/01/2012;63;B6;92;1;110.1;5.4;9.6;7.9
KNDE;;;;;2;102.7;4.8;7.8;6.4
KNDE;;;;;3;99.4;4.7;9.7;8.1
KNDE;;;;;4;110.9;5.2;10.2;8.5
KNDE;;;;;5;108.1;4.8;8.5;7
KNDE;09/01/2012;63;B4;97;1;117.1;6.8;14.6;10.2
KNDE;;;;;2;108.2;7.6;22.3;11.2
KNDE;;;;;3;99.9;6.6;18.9;9.3
KNDE;;;;;4;109.7;7.5;22.8;11.9
KNDE;09/01/2012;63;B4;105;1;107.3;7;19.2;9.9
KNDE;;;;;2;118.2;6.6;20;10.3
KNDE;;;;;3;114.8;6.9;21;11.3
KNDE;;;;;4;117.5;7.5;23.1;12.3
KNDE;09/01/2012;63;B4;113;1;106.6;6.9;19.4;10.4
KNDE;;;;;2;111.8;5.9;17.3;8.7
KNDE;;;;;3;117.6;7.4;20.6;10.3
KNDE;;;;;4;109;7.1;19.7;10.6
KNDE;09/01/2012;63;B2;103;1;99.4;6;9.6;8.3
KNDE;;;;;2;96.1;6.4;8.4;7
KNDE;;;;;3;97.3;6.1;11.1;8.9
KNDE;;;;;4;94.5;5.9;9.8;8.1
KNDE;;;;;5;93.9;7.1;8.9;7.4
KNDE;;;;;6;93.4;6.5;8.4;7.7
KNDE;;;;;7;99.7;5.8;7.5;6.7
KNDE;09/01/2012;63;B2;111;1;107.3;5.8;15.7;8.3
KNDE;;;;;2;109.2;6.4;17.4;10.2
KNDE;;;;;3;98.9;6.9;19;10.4
KNDE;;;;;4;107.5;6.4;17.5;9.7
KNDE;;;;;5;105.3;6.9;19.1;9.7
KNDE;09/01/2012;63;B2;112;1;93.7;6.7;15.1;7.3
KNDE;;;;;2;90.3;6.8;15;7.3
KNDE;;;;;3;92.8;6.9;16.9;8.4
KNDE;;;;;4;89.9;7;17;8.1
KNDE;;;;;5;96.4;7;15.9;7.4
KNDE;;;;;6;95.7;6.4;15.3;7.3
KNDE;09/01/2012;63;B2;116;1;111.1;7.7;20.3;9.8
KNDE;;;;;2;105;7.5;20.2;10.4
KNDE;;;;;3;108.2;6.6;18.2;9.3
KNDE;;;;;4;108.9;7.5;20.7;10.2
KNDE;;;;;5;51;7;19.4;10.6
KNDE;12/01/2012;63;B5;98;1;115.7;6.6;19.7;8.1
KNDE;;;;;2;110.1;7;24.1;9.2
KNDE;;;;;3;101.3;6.5;20.6;8.2
KNDE;;;;;4;108;7;21.7;8.4
KNDE;12/01/2012;63;B5;90;1;111;6.2;19.1;7.4
KNDE;;;;;2;109.6;5.7;18.3;6.7
KNDE;;;;;3;107.9;6.5;19.6;7.7
KNDE;;;;;4;108.1;6.1;19.7;7.6
KNDE;12/01/2012;63;B6;98;1;107.7;6.5;20.3;8.2
KNDE;;;;;2;101.1;6.6;19.6;7.5
KNDE;;;;;3;109.1;5.6;20.1;8.9
KNDE;;;;;4;103.7;5.6;17.4;6.3
KNDE;;;;;5;102.2;6.1;18.9;6.8
KNDE;12/01/2012;63;B1;117;1;100;6;16.8;6.5
KNDE;;;;;2;101;6.4;17.9;6.6
KNDE;;;;;3;101.5;6.2;17.7;6.9
KNDE;;;;;4;109.1;7.1;19.9;7.3
KNDE;14/01/2012;83;C6;94;1;116.2;6.6;17.5;9.4
KNDE;;;;;2;113.1;7;20;10.2
KNDE;;;;;3;113.1;7.6;22.2;10.3
